id,name_list_as,name_display_as,name_full_title,name_address_as,latest_party_id,latest_party_name,latest_party_short,latestParty_governmentType,latestParty_isIndependentParty,gender,membershipFrom,membershipFromId,membership_house,membershipStartDate,membershipEndDate,membershipEndReason,membershipEndReasonNotes,membershipEndReasonId,statusIsActive,statusDescription,statusNotes,statusId,status,statusStartDate
4635,"Hughes, Eddie","Eddie Hughes","Eddie Hughes MP","Eddie Hughes",4,"Conservative","Con",0,false,"M","Walsall North",3823,1,"2017-06-08T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4839,"Hunt, Jane","Jane Hunt","Jane Hunt MP","",4,"Conservative","Con",0,false,"F","Loughborough",3586,1,"2019-12-12T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
1572,"Hunt, Jeremy","Jeremy Hunt","Rt Hon Jeremy Hunt MP","",4,"Conservative","Con",0,false,"M","South West Surrey",3758,1,"2005-05-05T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4771,"Hunt, Tom","Tom Hunt","Tom Hunt MP","",4,"Conservative","Con",0,false,"M","Ipswich",3547,1,"2019-12-12T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4511,"Huq, Dr Rupa","Dr Rupa Huq","Dr Rupa Huq MP","Dr Huq",15,"Labour","Lab",3,false,"F","Ealing Central and Acton",3455,1,"2015-05-07T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4394,"Hussain, Imran","Imran Hussain","Imran Hussain MP","Imran Hussain",15,"Labour","Lab",3,false,"M","Bradford East",3353,1,"2015-05-07T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4619,"Jack, Mr Alister","Mr Alister Jack","Rt Hon Alister Jack MP","Mr Jack",4,"Conservative","Con",0,false,"M","Dumfries and Galloway",911,1,"2017-06-08T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4634,"Jardine, Christine","Christine Jardine","Christine Jardine MP","Christine Jardine",17,"Liberal Democrat","LD","",false,"F","Edinburgh West",1054,1,"2017-06-08T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4243,"Jarvis, Dan","Dan Jarvis","Dan Jarvis MP","Dan Jarvis",15,"Labour","Lab",3,false,"M","Barnsley Central",3302,1,"2011-03-03T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
3945,"Javid, Sajid","Sajid Javid","Rt Hon Sajid Javid MP","Sajid Javid",4,"Conservative","Con",0,false,"M","Bromsgrove",3373,1,"2010-05-06T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4498,"Jayawardena, Mr Ranil","Mr Ranil Jayawardena","Rt Hon Ranil Jayawardena MP","Mr Jayawardena",4,"Conservative","Con",0,false,"M","North East Hampshire",3643,1,"2015-05-07T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
40,"Jenkin, Sir Bernard","Sir Bernard Jenkin","Sir Bernard Jenkin MP","Sir Bernard",4,"Conservative","Con",0,false,"M","Harwich and North Essex",3520,1,"1992-04-09T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4752,"Jenkinson, Mark","Mark Jenkinson","Mark Jenkinson MP","",4,"Conservative","Con",0,false,"M","Workington",3866,1,"2019-12-12T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4490,"Jenkyns, Dame Andrea","Dame Andrea Jenkyns","Dame Andrea Jenkyns MP","Dame Andrea Jenkyns",4,"Conservative","Con",0,false,"F","Morley and Outwood",3619,1,"2015-05-07T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4320,"Jenrick, Robert","Robert Jenrick","Rt Hon Robert Jenrick MP","",4,"Conservative","Con",0,false,"M","Newark",3623,1,"2014-06-05T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4592,"Johnson, Dr Caroline","Dr Caroline Johnson","Dr Caroline Johnson MP","Dr Caroline Johnson",4,"Conservative","Con",0,false,"F","Sleaford and North Hykeham",3732,1,"2016-12-08T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
